ip,datetime,size,year,month,day,hour,method_DELETE,method_GET,method_POST,url_/about.html,url_/contact.html,url_/index.html,url_/login,status_200,status_404,status_500,ip_encoded
112.191.80.171,2023-07-21 07:05:58,1955,2023,7,21,7,True,False,False,False,True,False,False,True,False,False,112191080171
152.24.210.231,2020-05-28 13:08:23,4061,2020,5,28,13,True,False,False,True,False,False,False,False,False,True,152024210231
153.187.86.194,2021-02-12 07:37:15,2084,2021,2,12,7,False,False,True,False,True,False,False,False,True,False,153187086194
193.13.51.107,2021-12-30 21:02:05,4392,2021,12,30,21,True,False,False,True,False,False,False,False,False,True,193013051107
2.38.76.139,2021-11-19 15:35:56,2499,2021,11,19,15,False,False,True,False,True,False,False,False,False,True,2038076139
139.140.141.102,2024-06-21 15:15:02,2829,2024,6,21,15,True,False,False,False,False,True,False,False,True,False,139140141102
57.23.216.76,2020-03-26 06:04:12,1834,2020,3,26,6,True,False,False,False,False,False,True,True,False,False,57023216076
15.254.153.104,2021-05-20 16:45:03,3463,2021,5,20,16,False,True,False,True,False,False,False,True,False,False,15254153104
71.100.166.120,2021-04-18 14:55:31,2810,2021,4,18,14,True,False,False,False,False,True,False,True,False,False,71100166120
60.10.135.176,2021-08-21 10:35:17,1625,2021,8,21,10,False,True,False,False,True,False,False,False,True,False,60010135176
164.98.182.204,2021-06-03 00:35:37,2284,2021,6,3,0,False,True,False,True,False,False,False,False,True,False,164098182204
78.131.199.190,2023-01-11 13:50:10,3570,2023,1,11,13,False,True,False,False,False,False,True,False,True,False,78131199190
220.160.60.150,2024-07-20 22:07:18,4833,2024,7,20,22,True,False,False,False,True,False,False,True,False,False,220160060150
95.220.214.79,2023-02-15 20:20:07,3962,2023,2,15,20,True,False,False,False,False,False,True,False,False,True,95220214079
227.152.99.154,2023-04-15 03:59:37,3579,2023,4,15,3,False,True,False,False,False,False,True,False,False,True,227152099154
65.37.155.53,2024-11-29 07:23:21,4717,2024,11,29,7,True,False,False,False,False,False,True,False,True,False,65037155053
38.160.199.13,2021-03-30 02:26:38,2638,2021,3,30,2,False,False,True,False,True,False,False,True,False,False,38160199013
121.42.1.0,2022-02-14 06:44:49,1301,2022,2,14,6,False,False,True,False,False,True,False,True,False,False,121042001000
178.14.157.90,2022-03-16 13:12:55,2922,2022,3,16,13,True,False,False,True,False,False,False,True,False,False,178014157090
108.19.193.242,2024-09-07 22:11:32,2396,2024,9,7,22,False,False,True,False,False,False,True,True,False,False,108019193242
144.236.183.163,2024-11-18 06:07:08,4195,2024,11,18,6,False,False,True,True,False,False,False,True,False,False,144236183163
216.188.221.68,2022-06-03 22:49:13,3969,2022,6,3,22,False,True,False,True,False,False,False,False,False,True,216188221068
181.62.241.188,2023-09-05 18:58:45,3246,2023,9,5,18,False,True,False,False,True,False,False,True,False,False,181062241188
72.27.248.71,2023-06-02 00:46:20,4669,2023,6,2,0,False,True,False,False,False,False,True,False,True,False,72027248071
54.137.163.76,2022-03-09 14:00:54,1970,2022,3,9,14,True,False,False,False,False,True,False,False,True,False,54137163076
251.123.199.232,2022-04-27 16:38:58,3712,2022,4,27,16,False,True,False,False,False,False,True,False,False,True,251123199232
132.85.229.145,2023-12-14 01:24:09,1867,2023,12,14,1,True,False,False,True,False,False,False,False,True,False,132085229145
85.47.172.19,2022-02-25 01:38:53,4186,2022,2,25,1,False,False,True,False,False,False,True,False,False,True,85047172019
197.42.79.82,2024-11-03 14:11:40,2683,2024,11,3,14,False,False,True,False,True,False,False,False,True,False,197042079082
147.26.162.44,2021-01-23 07:24:51,4343,2021,1,23,7,True,False,False,False,False,False,True,False,True,False,147026162044
48.247.216.201,2024-04-19 19:13:08,1951,2024,4,19,19,False,True,False,False,False,True,False,False,True,False,48247216201
36.18.187.232,2020-07-01 18:22:09,3996,2020,7,1,18,True,False,False,False,True,False,False,False,False,True,36018187232
54.88.35.137,2021-07-10 03:28:49,1527,2021,7,10,3,False,True,False,True,False,False,False,False,False,True,54088035137
251.144.125.201,2020-04-04 07:18:02,1846,2020,4,4,7,True,False,False,False,False,True,False,False,False,True,251144125201
134.152.98.145,2024-02-03 01:11:12,1367,2024,2,3,1,True,False,False,False,True,False,False,False,True,False,134152098145
207.5.81.249,2022-01-08 14:33:11,3874,2022,1,8,14,False,True,False,False,True,False,False,False,True,False,207005081249
200.174.75.167,2023-05-16 05:58:26,3356,2023,5,16,5,False,False,True,False,True,False,False,True,False,False,200174075167
39.194.164.170,2024-05-24 10:58:19,3095,2024,5,24,10,False,False,True,False,False,True,False,False,False,True,39194164170
226.91.114.233,2020-10-03 16:02:45,2365,2020,10,3,16,False,True,False,True,False,False,False,False,False,True,226091114233
95.28.106.154,2023-06-20 13:44:59,4788,2023,6,20,13,True,False,False,False,False,False,True,False,False,True,95028106154
46.164.104.235,2023-06-24 14:23:40,3566,2023,6,24,14,False,False,True,False,True,False,False,False,True,False,46164104235
184.146.62.232,2021-07-27 22:17:43,3238,2021,7,27,22,False,True,False,False,False,False,True,False,False,True,184146062232
202.101.202.146,2022-01-05 20:34:53,4486,2022,1,5,20,False,False,True,True,False,False,False,False,False,True,202101202146
184.121.202.11,2021-11-27 04:50:28,2015,2021,11,27,4,False,True,False,False,True,False,False,False,True,False,184121202011
190.146.15.201,2024-08-24 15:53:15,2118,2024,8,24,15,False,True,False,False,False,True,False,False,False,True,190146015201
143.155.138.249,2024-09-19 07:39:29,1251,2024,9,19,7,False,True,False,False,False,True,False,True,False,False,143155138249
196.30.226.25,2020-02-02 02:06:34,1377,2020,2,2,2,False,True,False,False,True,False,False,False,False,True,196030226025
0.185.48.25,2020-09-12 11:07:01,3773,2020,9,12,11,False,False,True,False,False,False,True,False,False,True,185048025
139.250.105.167,2022-12-31 07:15:21,2967,2022,12,31,7,False,True,False,True,False,False,False,False,False,True,139250105167
151.87.162.156,2024-10-18 07:52:05,3461,2024,10,18,7,True,False,False,False,False,True,False,False,False,True,151087162156
136.163.97.153,2021-04-27 14:32:47,1046,2021,4,27,14,False,False,True,True,False,False,False,True,False,False,136163097153
192.106.169.34,2022-11-28 09:35:58,4498,2022,11,28,9,True,False,False,False,True,False,False,True,False,False,192106169034
247.70.112.163,2022-09-30 15:38:56,4310,2022,9,30,15,True,False,False,True,False,False,False,False,True,False,247070112163
149.225.154.23,2020-05-11 21:18:55,1730,2020,5,11,21,False,True,False,False,False,True,False,False,True,False,149225154023
77.148.129.217,2023-03-11 10:35:11,3789,2023,3,11,10,True,False,False,True,False,False,False,False,True,False,77148129217
54.58.1.158,2022-12-08 11:31:31,1472,2022,12,8,11,True,False,False,False,False,True,False,False,True,False,54058001158
88.0.206.202,2023-06-06 00:31:43,3717,2023,6,6,0,False,True,False,True,False,False,False,True,False,False,88000206202
18.16.141.61,2023-08-09 16:58:03,2944,2023,8,9,16,True,False,False,True,False,False,False,False,False,True,18016141061
81.84.14.213,2023-09-15 14:41:42,4324,2023,9,15,14,False,True,False,True,False,False,False,False,True,False,81084014213
74.201.121.6,2020-05-06 17:57:55,4584,2020,5,6,17,False,False,True,False,False,False,True,False,False,True,74201121006
253.44.154.199,2024-07-08 20:38:51,4725,2024,7,8,20,False,False,True,False,False,True,False,False,False,True,253044154199
8.76.118.89,2022-09-21 12:14:32,4965,2022,9,21,12,True,False,False,False,True,False,False,False,False,True,8076118089
170.54.102.6,2024-08-21 13:36:59,3018,2024,8,21,13,False,False,True,False,False,True,False,False,True,False,170054102006
62.197.250.206,2023-04-11 10:50:31,1600,2023,4,11,10,True,False,False,False,False,False,True,False,False,True,62197250206
108.123.164.102,2022-05-12 15:16:02,4322,2022,5,12,15,False,True,False,False,False,False,True,False,True,False,108123164102
24.16.50.84,2022-10-23 21:47:34,2808,2022,10,23,21,True,False,False,False,False,True,False,False,True,False,24016050084
41.50.64.235,2021-08-20 09:57:25,4026,2021,8,20,9,False,True,False,False,False,True,False,False,True,False,41050064235
189.21.191.228,2023-06-21 03:04:28,2839,2023,6,21,3,True,False,False,True,False,False,False,True,False,False,189021191228
169.153.33.218,2023-03-20 09:16:44,3492,2023,3,20,9,True,False,False,True,False,False,False,True,False,False,169153033218
253.227.28.6,2024-05-25 02:11:21,1447,2024,5,25,2,False,True,False,False,False,True,False,False,False,True,253227028006
31.115.23.150,2020-05-07 05:36:47,4432,2020,5,7,5,False,True,False,False,True,False,False,False,False,True,31115023150
245.39.221.165,2023-09-07 17:14:43,4159,2023,9,7,17,False,False,True,False,False,True,False,True,False,False,245039221165
83.164.38.211,2020-02-10 17:03:35,2443,2020,2,10,17,False,True,False,False,False,False,True,True,False,False,83164038211
40.212.70.118,2021-10-25 04:19:44,3693,2021,10,25,4,True,False,False,False,False,True,False,False,False,True,40212070118
81.71.142.213,2021-12-21 09:19:31,2703,2021,12,21,9,False,False,True,False,False,False,True,True,False,False,81071142213
192.221.66.184,2023-08-17 18:11:29,4196,2023,8,17,18,False,False,True,False,True,False,False,False,False,True,192221066184
157.107.197.12,2024-02-11 13:41:27,3617,2024,2,11,13,False,False,True,False,False,True,False,False,True,False,157107197012
15.102.41.189,2020-01-29 23:14:05,3416,2020,1,29,23,True,False,False,False,False,True,False,True,False,False,15102041189
52.74.4.187,2021-01-26 18:17:17,4838,2021,1,26,18,False,True,False,True,False,False,False,False,False,True,52074004187
250.62.187.155,2023-02-24 15:51:09,3403,2023,2,24,15,False,True,False,True,False,False,False,False,False,True,250062187155
95.215.224.87,2021-10-06 08:28:34,4229,2021,10,6,8,True,False,False,False,False,True,False,True,False,False,95215224087
112.184.75.32,2024-12-12 10:57:50,2638,2024,12,12,10,True,False,False,True,False,False,False,True,False,False,112184075032
90.176.247.151,2020-06-21 14:50:14,2530,2020,6,21,14,False,True,False,False,False,True,False,False,True,False,90176247151
209.167.12.218,2023-11-23 02:05:12,1210,2023,11,23,2,False,True,False,False,True,False,False,True,False,False,209167012218
249.88.169.169,2021-10-05 03:20:34,3572,2021,10,5,3,True,False,False,False,False,False,True,False,True,False,249088169169
126.77.174.238,2022-08-17 09:57:57,4712,2022,8,17,9,False,False,True,False,False,True,False,True,False,False,126077174238
44.133.118.37,2024-03-10 08:21:05,4880,2024,3,10,8,True,False,False,False,False,False,True,True,False,False,44133118037
11.74.116.67,2021-05-21 19:18:31,2659,2021,5,21,19,True,False,False,False,False,True,False,False,False,True,11074116067
182.212.199.219,2021-10-07 01:44:09,3119,2021,10,7,1,False,False,True,False,True,False,False,True,False,False,182212199219
170.31.7.89,2021-06-28 00:25:14,3224,2021,6,28,0,False,True,False,True,False,False,False,True,False,False,170031007089
6.37.129.130,2022-02-19 02:46:18,2716,2022,2,19,2,False,True,False,False,True,False,False,False,False,True,6037129130
231.215.127.53,2024-03-29 22:00:21,3487,2024,3,29,22,False,False,True,False,True,False,False,False,True,False,231215127053
178.73.52.137,2023-02-14 10:11:11,4695,2023,2,14,10,True,False,False,False,True,False,False,False,True,False,178073052137
199.238.225.56,2020-06-17 01:59:49,1612,2020,6,17,1,False,False,True,True,False,False,False,False,True,False,199238225056
187.47.53.228,2020-02-04 05:47:19,3834,2020,2,4,5,False,True,False,False,False,False,True,False,False,True,187047053228
37.145.32.108,2021-05-25 13:46:21,1659,2021,5,25,13,False,True,False,False,False,False,True,False,False,True,37145032108
210.230.50.118,2022-01-21 09:11:30,2582,2022,1,21,9,True,False,False,False,True,False,False,True,False,False,210230050118
222.243.35.58,2021-06-04 21:32:48,1907,2021,6,4,21,False,False,True,False,True,False,False,False,False,True,222243035058
204.159.110.101,2020-04-30 00:34:05,1837,2020,4,30,0,True,False,False,False,False,True,False,False,True,False,204159110101
226.41.58.167,2022-03-18 00:52:08,2422,2022,3,18,0,False,True,False,True,False,False,False,False,True,False,226041058167
247.6.31.99,2022-02-03 15:57:10,2670,2022,2,3,15,True,False,False,False,True,False,False,False,True,False,247006031099
181.9.66.166,2020-04-29 06:44:08,4840,2020,4,29,6,False,False,True,False,True,False,False,False,True,False,181009066166
54.123.210.136,2023-06-30 16:20:17,3195,2023,6,30,16,False,False,True,False,False,False,True,False,False,True,54123210136
236.138.170.184,2022-07-16 07:00:57,1535,2022,7,16,7,False,False,True,False,False,True,False,False,False,True,236138170184
127.180.202.217,2023-08-20 09:08:52,4338,2023,8,20,9,False,False,True,False,False,True,False,False,True,False,127180202217
112.127.172.131,2021-03-05 00:34:46,4548,2021,3,5,0,False,False,True,False,False,True,False,False,False,True,112127172131
40.161.186.23,2024-01-25 00:10:41,2107,2024,1,25,0,False,False,True,False,True,False,False,False,False,True,40161186023
122.56.252.42,2020-05-16 06:10:22,1748,2020,5,16,6,False,True,False,False,True,False,False,False,True,False,122056252042
233.106.30.192,2020-08-05 06:08:19,2383,2020,8,5,6,False,False,True,True,False,False,False,False,False,True,233106030192
127.24.243.186,2021-06-21 10:07:25,2859,2021,6,21,10,False,False,True,False,True,False,False,True,False,False,127024243186
124.63.101.113,2020-03-29 00:05:53,1569,2020,3,29,0,True,False,False,False,False,False,True,False,False,True,124063101113
198.230.126.195,2024-02-28 15:30:32,2248,2024,2,28,15,True,False,False,False,False,False,True,False,False,True,198230126195
242.192.113.100,2023-08-22 03:18:09,4148,2023,8,22,3,False,False,True,True,False,False,False,True,False,False,242192113100
22.127.106.153,2023-06-16 13:53:12,3811,2023,6,16,13,True,False,False,False,False,True,False,False,False,True,22127106153
253.19.121.168,2024-02-27 03:34:38,1259,2024,2,27,3,True,False,False,False,False,False,True,False,True,False,253019121168
3.139.74.180,2023-04-06 11:23:51,2750,2023,4,6,11,False,True,False,False,False,True,False,True,False,False,3139074180
228.171.51.48,2024-07-11 02:44:55,3278,2024,7,11,2,False,True,False,False,False,False,True,False,False,True,228171051048
46.53.241.143,2024-10-07 18:46:00,2930,2024,10,7,18,False,False,True,True,False,False,False,False,True,False,46053241143
131.211.223.184,2023-01-10 15:11:25,2602,2023,1,10,15,True,False,False,True,False,False,False,False,False,True,131211223184
177.44.97.41,2023-10-01 04:46:19,4516,2023,10,1,4,False,False,True,False,False,False,True,False,True,False,177044097041
156.79.103.172,2022-04-04 02:38:30,2328,2022,4,4,2,False,True,False,False,False,True,False,True,False,False,156079103172
90.243.196.217,2023-03-24 07:12:09,3937,2023,3,24,7,True,False,False,False,False,True,False,True,False,False,90243196217
172.51.184.77,2024-06-05 05:32:10,1622,2024,6,5,5,True,False,False,False,False,False,True,False,False,True,172051184077
54.148.232.109,2021-10-26 19:28:12,3612,2021,10,26,19,False,True,False,False,True,False,False,True,False,False,54148232109
45.171.103.135,2023-07-22 00:03:29,2111,2023,7,22,0,False,False,True,False,False,False,True,False,True,False,45171103135
50.163.60.195,2022-01-21 14:19:11,4651,2022,1,21,14,False,True,False,False,False,False,True,False,False,True,50163060195
126.150.131.122,2022-02-01 09:18:52,2665,2022,2,1,9,False,False,True,False,False,False,True,True,False,False,126150131122
20.25.172.209,2024-01-11 10:45:14,2603,2024,1,11,10,False,False,True,True,False,False,False,False,True,False,20025172209
251.97.47.89,2020-03-10 04:29:18,2947,2020,3,10,4,True,False,False,False,False,True,False,True,False,False,251097047089
38.58.154.113,2020-04-13 19:24:03,1914,2020,4,13,19,False,True,False,False,False,True,False,True,False,False,38058154113
117.230.76.199,2023-02-03 07:43:42,2065,2023,2,3,7,True,False,False,False,False,False,True,False,False,True,117230076199
3.29.231.96,2020-11-27 14:24:22,3600,2020,11,27,14,False,True,False,True,False,False,False,False,True,False,3029231096
248.133.191.151,2022-11-23 06:31:26,2744,2022,11,23,6,True,False,False,True,False,False,False,False,False,True,248133191151
218.5.28.39,2023-07-20 16:09:25,2839,2023,7,20,16,False,False,True,False,False,False,True,False,False,True,218005028039
17.119.35.158,2023-12-26 18:32:49,1576,2023,12,26,18,True,False,False,True,False,False,False,False,True,False,17119035158
209.134.159.144,2020-05-29 15:24:46,3592,2020,5,29,15,False,True,False,True,False,False,False,False,False,True,209134159144
94.90.79.9,2023-02-22 02:32:22,3498,2023,2,22,2,True,False,False,False,True,False,False,False,False,True,94090079009
71.0.216.214,2020-12-04 12:54:40,1717,2020,12,4,12,False,False,True,False,False,False,True,False,False,True,71000216214
201.255.129.138,2023-11-14 08:56:55,2108,2023,11,14,8,False,False,True,False,False,False,True,False,False,True,201255129138
114.86.183.3,2023-06-09 22:25:42,2496,2023,6,9,22,False,True,False,False,False,False,True,False,False,True,114086183003
243.138.173.104,2024-06-14 10:28:02,2377,2024,6,14,10,False,False,True,False,False,False,True,False,False,True,243138173104
41.38.166.105,2020-11-26 12:50:43,3294,2020,11,26,12,False,False,True,False,False,True,False,False,True,False,41038166105
75.254.124.93,2021-02-01 00:17:31,4885,2021,2,1,0,False,False,True,False,True,False,False,False,False,True,75254124093
162.40.89.175,2021-01-10 22:45:11,2483,2021,1,10,22,True,False,False,False,False,True,False,False,False,True,162040089175
65.94.107.245,2024-09-04 23:08:59,1606,2024,9,4,23,False,True,False,False,False,True,False,False,False,True,65094107245
196.208.222.11,2022-10-08 12:13:58,1294,2022,10,8,12,True,False,False,True,False,False,False,True,False,False,196208222011
184.29.201.180,2024-11-13 01:02:16,4492,2024,11,13,1,False,True,False,False,False,False,True,False,True,False,184029201180
225.105.66.14,2022-03-20 11:44:34,1089,2022,3,20,11,False,False,True,False,False,False,True,False,True,False,225105066014
171.19.213.74,2022-05-11 02:36:01,2659,2022,5,11,2,False,True,False,False,False,False,True,False,False,True,171019213074
90.4.108.158,2022-06-09 15:21:39,3376,2022,6,9,15,False,False,True,False,False,True,False,False,True,False,90004108158
103.153.78.91,2022-09-11 06:59:37,2008,2022,9,11,6,False,False,True,False,False,True,False,False,True,False,103153078091
135.184.153.87,2022-01-13 15:31:35,1866,2022,1,13,15,True,False,False,False,False,False,True,False,False,True,135184153087
56.206.201.255,2024-07-18 22:15:23,3921,2024,7,18,22,False,True,False,False,False,True,False,False,True,False,56206201255
151.159.148.56,2024-09-07 21:19:21,3012,2024,9,7,21,True,False,False,False,True,False,False,False,False,True,151159148056
22.154.206.151,2023-06-21 04:27:21,1444,2023,6,21,4,False,False,True,True,False,False,False,False,False,True,22154206151
85.243.97.156,2024-12-18 02:12:48,1527,2024,12,18,2,False,False,True,True,False,False,False,True,False,False,85243097156
105.217.96.236,2020-07-21 17:54:37,3760,2020,7,21,17,False,False,True,False,True,False,False,True,False,False,105217096236
255.28.17.252,2023-01-18 10:33:28,3974,2023,1,18,10,True,False,False,True,False,False,False,True,False,False,255028017252
248.102.12.222,2023-08-03 10:08:32,3200,2023,8,3,10,False,True,False,True,False,False,False,False,False,True,248102012222
191.83.255.24,2023-10-23 00:13:04,3220,2023,10,23,0,True,False,False,False,False,True,False,True,False,False,191083255024
68.46.57.46,2022-04-04 07:54:03,3703,2022,4,4,7,True,False,False,True,False,False,False,False,False,True,68046057046
149.33.12.18,2024-12-11 03:12:08,3024,2024,12,11,3,False,False,True,True,False,False,False,False,True,False,149033012018
158.108.211.218,2021-10-28 22:19:00,4124,2021,10,28,22,False,False,True,False,False,False,True,True,False,False,158108211218
95.44.220.172,2022-01-23 00:58:08,1727,2022,1,23,0,False,True,False,False,False,False,True,False,True,False,95044220172
77.71.43.84,2022-09-23 04:28:14,4149,2022,9,23,4,False,False,True,False,False,False,True,True,False,False,77071043084
148.225.232.93,2021-04-30 11:08:30,4575,2021,4,30,11,False,True,False,False,False,True,False,True,False,False,148225232093
82.208.223.161,2022-02-12 18:46:14,2857,2022,2,12,18,False,True,False,True,False,False,False,False,False,True,82208223161
173.156.49.104,2024-01-16 09:19:50,1690,2024,1,16,9,False,False,True,False,False,False,True,False,False,True,173156049104
63.158.213.81,2024-10-18 06:12:30,1730,2024,10,18,6,True,False,False,False,True,False,False,True,False,False,63158213081
125.25.148.0,2020-10-14 22:08:04,3785,2020,10,14,22,True,False,False,False,True,False,False,False,False,True,125025148000
231.196.188.102,2021-09-24 17:34:44,4971,2021,9,24,17,True,False,False,False,True,False,False,False,False,True,231196188102
93.219.136.181,2021-05-18 11:49:11,2375,2021,5,18,11,True,False,False,False,False,True,False,False,True,False,93219136181
190.107.184.81,2020-08-07 20:44:22,4720,2020,8,7,20,True,False,False,False,True,False,False,False,False,True,190107184081
5.197.231.76,2023-01-12 19:21:12,4903,2023,1,12,19,False,False,True,False,False,True,False,False,False,True,5197231076
228.228.100.227,2023-09-11 03:13:03,2117,2023,9,11,3,False,True,False,True,False,False,False,False,True,False,228228100227
167.2.254.193,2024-11-06 06:41:49,3945,2024,11,6,6,False,True,False,False,False,True,False,False,True,False,167002254193
231.210.132.194,2021-07-12 02:18:54,1726,2021,7,12,2,True,False,False,False,False,False,True,True,False,False,231210132194
