ip,datetime,method,url,size,year,month,day,hour,status_200,status_404,status_500,ip_encoded,about,contact,delete,get,html,index,login,post
112.191.80.171,2023-07-21 07:05:58,DELETE,/contact.html,1955,2023,7,21,7,True,False,False,112191080171,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
152.24.210.231,2020-05-28 13:08:23,DELETE,/about.html,4061,2020,5,28,13,False,False,True,152024210231,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
153.187.86.194,2021-02-12 07:37:15,POST,/contact.html,2084,2021,2,12,7,False,True,False,153187086194,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
193.13.51.107,2021-12-30 21:02:05,DELETE,/about.html,4392,2021,12,30,21,False,False,True,193013051107,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
2.38.76.139,2021-11-19 15:35:56,POST,/contact.html,2499,2021,11,19,15,False,False,True,2038076139,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
139.140.141.102,2024-06-21 15:15:02,DELETE,/index.html,2829,2024,6,21,15,False,True,False,139140141102,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
57.23.216.76,2020-03-26 06:04:12,DELETE,/login,1834,2020,3,26,6,True,False,False,57023216076,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
15.254.153.104,2021-05-20 16:45:03,GET,/about.html,3463,2021,5,20,16,True,False,False,15254153104,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
71.100.166.120,2021-04-18 14:55:31,DELETE,/index.html,2810,2021,4,18,14,True,False,False,71100166120,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
60.10.135.176,2021-08-21 10:35:17,GET,/contact.html,1625,2021,8,21,10,False,True,False,60010135176,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
164.98.182.204,2021-06-03 00:35:37,GET,/about.html,2284,2021,6,3,0,False,True,False,164098182204,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
78.131.199.190,2023-01-11 13:50:10,GET,/login,3570,2023,1,11,13,False,True,False,78131199190,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
220.160.60.150,2024-07-20 22:07:18,DELETE,/contact.html,4833,2024,7,20,22,True,False,False,220160060150,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
95.220.214.79,2023-02-15 20:20:07,DELETE,/login,3962,2023,2,15,20,False,False,True,95220214079,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
227.152.99.154,2023-04-15 03:59:37,GET,/login,3579,2023,4,15,3,False,False,True,227152099154,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
65.37.155.53,2024-11-29 07:23:21,DELETE,/login,4717,2024,11,29,7,False,True,False,65037155053,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
38.160.199.13,2021-03-30 02:26:38,POST,/contact.html,2638,2021,3,30,2,True,False,False,38160199013,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
121.42.1.0,2022-02-14 06:44:49,POST,/index.html,1301,2022,2,14,6,True,False,False,121042001000,0.0,0.0,0.0,0.0,0.3747640830594092,0.6934942615875391,0.0,0.6153190970494855
178.14.157.90,2022-03-16 13:12:55,DELETE,/about.html,2922,2022,3,16,13,True,False,False,178014157090,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
108.19.193.242,2024-09-07 22:11:32,POST,/login,2396,2024,9,7,22,True,False,False,108019193242,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
144.236.183.163,2024-11-18 06:07:08,POST,/about.html,4195,2024,11,18,6,True,False,False,144236183163,0.6946886173766375,0.0,0.0,0.0,0.3741650741960277,0.0,0.0,0.6143355940682723
216.188.221.68,2022-06-03 22:49:13,GET,/about.html,3969,2022,6,3,22,False,False,True,216188221068,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
181.62.241.188,2023-09-05 18:58:45,GET,/contact.html,3246,2023,9,5,18,True,False,False,181062241188,0.0,0.6924750674202508,0.0,0.6182996707901875,0.3717308140335755,0.0,0.0,0.0
72.27.248.71,2023-06-02 00:46:20,GET,/login,4669,2023,6,2,0,False,True,False,72027248071,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
54.137.163.76,2022-03-09 14:00:54,DELETE,/index.html,1970,2022,3,9,14,False,True,False,54137163076,0.0,0.0,0.6082759351286037,0.0,0.3773539434268704,0.6982867520751149,0.0,0.0
251.123.199.232,2022-04-27 16:38:58,GET,/login,3712,2022,4,27,16,False,False,True,251123199232,0.0,0.0,0.0,0.6622775049403492,0.0,0.0,0.7492586378881366,0.0
132.85.229.145,2023-12-14 01:24:09,DELETE,/about.html,1867,2023,12,14,1,False,True,False,132085229145,0.6994738684276036,0.0,0.6072902383200375,0.0,0.3767424502602747,0.0,0.0,0.0
85.47.172.19,2022-02-25 01:38:53,POST,/login,4186,2022,2,25,1,False,False,True,85047172019,0.0,0.0,0.0,0.0,0.0,0.0,0.7534983990125385,0.6574497415662595
197.42.79.82,2024-11-03 14:11:40,POST,/contact.html,2683,2024,11,3,14,False,True,False,197042079082,0.0,0.6958866658698936,0.0,0.0,0.3735622103227819,0.0,0.0,0.6133457616086058
147.26.162.44,2021-01-23 07:24:51,DELETE,/login,4343,2021,1,23,7,False,True,False,147026162044,0.0,0.0,0.6505635809403694,0.0,0.0,0.0,0.7594517938316054,0.0
48.247.216.201,2024-04-19 19:13:08,GET,/index.html,1951,2024,4,19,19,False,True,False,48247216201,0.0,0.0,0.0,0.6202693944147694,0.3729150407135787,0.6900726416558806,0.0,0.0
36.18.187.232,2020-07-01 18:22:09,DELETE,/contact.html,3996,2020,7,1,18,False,False,True,36018187232,0.0,0.700664575788991,0.6062982639893856,0.0,0.3761270627299911,0.0,0.0,0.0
54.88.35.137,2021-07-10 03:28:49,GET,/about.html,1527,2021,7,10,3,False,False,True,54088035137,0.691271972056759,0.0,0.0,0.6192877148299617,0.3723248405753281,0.0,0.0,0.0
